"ID","Crop","Site","latitude","longitude","Start","End"
"1","Corn/Soy","Arlington",43.3091,-89.3473,"1988_01_01","2018_12_31"
"2","Corn/Soy","Lancaster",42.8283,-90.7908,"1988_01_01","2018_12_31"
"3","Corn/Soy","Rock County",42.7255,-89.0228,"1988_01_01","2018_12_31"
